objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
img001,CUA-00007-0001-lo.jpg,Bute Building,,1980,Colour photo. Dimensions: 101mm (h) x 152mm. Image area: 101mm (h) x 152mm (w).,building exteriors;cars;roads;trees;colour photography,Edward VII Avenue,51.48672055,-3.182547024,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205984950002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img002,CUA-00095-0001-lo.jpg,Arts and Social Studies Library,,1985,Colour photo. Dimensions: 152mm (h) x 202mm. Image area: 152mm (h) x 202mm (w).,building exteriors;trees;students;libraries;colour photography,Colum Road,51.49004812,-3.18198069,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205983090002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img003,CUA-00100-0001-lo.jpg,Arts and Social Studies Library,,1979,Black and white photo. Dimensions: 202mm (h) x 258mm. Image area: 179mm (h) x 258mm (w).,building interiors;libraries;students;black and white photography,Colum Road,51.49004812,-3.18198069,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205982940002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img004,CUA-00110-0001-lo.jpg,Bute Library,,1980,Black and white photo. Dimensions: 130mm (h) x 194mm. Image area: 130mm (h) x 194mm (w).,building interiors;libraries;students;black and white photography,Edward VII Avenue,51.48672055,-3.182547024,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205982700002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img005,CUA-00162-0001-lo.jpg,Centre for Lifelong Learning,,1974,Black and white photo. Dimensions: 202mm (h) x 259mm. Image area: 179mm (h) x 259mm (w).,building exteriors;cars;roads;trees;students;black and white photography,Senghennydd Road,51.48728732,-3.175154847,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12206008180002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img006,CUA-00221-0001-lo.jpg,Main Building,,1975,Black and white photo. Dimensions: 202mm (h) x 259mm. Image area: 174mm (h) x 259mm (w).,building exteriors;cars;trees;students;black and white photography,Park Place,51.48816622,-3.178016473,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205937400002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img007,CUA-00226-0001-lo.jpg,Main Building,,1978,Colour photo. Dimensions: 202mm (h) x 253mm. Image area: 194mm (h) x 253mm (w).,building exteriors;cars;trees;students;colour photography,Museum Avenue,51.48719435,-3.180082478,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205937250002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img008,CUA-00269-0001-lo.jpg,Music Building,,1979,Black and white photo. Dimensions: 205mm (h) x 253mm. Image area: 163mm (h) x 253mm (w).,building interiors;students;concerts;auditoriums;black and white photography,Corbett Road,51.48928307,-3.183314574,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12206010070002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img009,CUA-00583-0001-lo.jpg,Council Chamber,,1910,Black and white photo. Dimensions: 86mm (h) x 136mm. Image area: 86mm (h) x 136mm (w).,building interiors;artwork;black and white photography,Park Place,51.48816622,-3.178016473,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205937130002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
img010,CUA-00608-0001-lo.jpg,John Percival Building,,1977,Colour photo. Dimensions: 89mm (h) x 131mm. Image area: 89mm (h) x 131mm (w).,building exteriors;campuses;colour photography,Colum Drive,51.49090256,-3.182911758,Cardiff University Library Special Collections and Archives,https://librarysearch.cardiff.ac.uk/view/UniversalViewer/44WHELF_CAR/12205979190002420,Image,image/jpeg,eng,Public domain,https://creativecommons.org/licenses/by/4.0/
